Date;L1;L2;L3;L4;L5;L6;L7;L8;L9;L10
2014-03-20;14;2;3;0;1;5;3;0;32;0
2014-03-21;55;9;46;9;71;46;10;7;77;16
2014-03-22;23;7;7;2;17;23;5;3;108;8
2014-03-23;11;1;6;2;11;4;2;4;4;5
2014-03-24;37;4;13;52;307;32;18;13;13;33
2014-03-25;36;31;11;1;43;11;6;7;35;28
2014-03-26;48;36;68;21;153;111;53;50;72;121
2014-03-27;44;15;50;22;747;38;23;14;65;39
2014-03-28;27;4;5;11;38;12;14;1;23;24
2014-03-29;31;49;3;5;8;37;4;1;15;5
2014-03-30;19;9;0;4;12;14;12;4;9;3
2014-03-31;31;15;49;3;91;40;15;11;25;29
2014-04-01;27;20;6;55;16;23;8;44;6;19
2014-04-02;48;24;19;8;36;47;3;7;22;16
2014-04-03;54;9;11;3;75;23;23;14;30;36
2014-04-04;120;36;20;23;50;85;18;42;39;25
2014-04-05;25;17;8;3;18;12;3;11;96;3
2014-04-06;15;8;10;6;8;12;1;7;7;0
2014-04-07;22;6;46;7;29;112;8;11;22;8
2014-04-08;32;12;21;5;46;72;12;6;35;35
2014-04-09;21;13;20;12;52;25;16;4;32;57
2014-04-10;51;17;11;42;50;96;10;6;11;58
2014-04-11;11;3;3;3;12;15;6;0;7;8
2014-04-21;17;9;4;10;21;17;7;10;21;4
2014-04-22;48;4;5;10;34;34;3;3;16;23
2014-04-23;25;7;7;5;38;19;8;0;4;39
2014-04-24;46;3;26;2;58;24;36;4;2;30
2014-04-25;24;3;15;6;20;27;9;5;20;25
2014-04-26;5;17;4;0;6;12;0;6;2;17
2014-04-27;6;6;3;2;13;7;6;5;2;7
2014-04-28;83;4;18;8;19;14;3;4;3;17
2014-04-29;37;1;14;6;41;22;11;12;10;14
2014-04-30;26;4;11;7;23;17;20;3;16;15
2014-05-01;25;12;22;3;9;3;4;0;6;2
2014-05-02;10;3;1;5;2;4;0;7;1;2
2014-05-03;11;0;1;1;4;3;2;1;10;1
2014-05-04;14;1;2;1;2;9;0;2;5;1
2014-05-05;35;21;17;5;74;14;25;12;15;19
2014-05-06;54;7;34;5;40;42;10;2;24;6
2014-05-07;25;4;0;0;28;26;13;4;15;28
2014-05-08;22;12;3;9;45;30;13;5;20;17
2014-05-09;83;6;30;4;63;39;20;8;13;26
2014-05-10;20;5;10;0;21;22;5;0;5;3
2014-05-11;15;6;4;0;22;7;4;0;7;3
2014-05-12;21;7;3;5;31;33;19;4;16;23
2014-05-13;7;2;1;0;11;29;6;0;14;14
2014-05-14;25;3;2;6;53;12;12;4;15;5
2014-05-15;12;4;0;1;14;7;4;2;3;5
2014-05-16;24;4;4;1;29;48;7;0;40;8
2014-05-17;14;1;17;2;27;11;1;0;7;4
2014-05-18;5;2;5;0;16;14;7;0;3;3
2014-05-19;22;4;5;3;33;33;6;9;12;61
2014-05-20;37;6;5;7;26;36;9;9;4;22
2014-05-21;13;6;24;2;12;22;8;5;24;17
2014-05-22;30;5;13;4;20;22;17;0;13;19
2014-05-23;15;4;3;8;24;11;7;1;22;14
2014-05-24;10;42;1;1;7;21;0;0;4;10
2014-05-25;9;4;21;2;3;15;0;0;2;67
2014-05-26;27;3;5;4;8;30;9;3;13;27
2014-05-27;33;22;0;2;30;14;2;2;11;5
2014-05-28;19;4;6;5;24;19;9;0;20;14
2014-05-29;19;10;1;10;28;28;12;1;8;9
2014-05-30;14;52;1;2;24;11;20;2;9;4
2014-05-31;27;14;1;1;9;6;8;1;18;4
2014-06-01;10;4;0;5;2;5;4;0;3;2
2014-06-02;42;65;12;2;16;12;4;1;10;14
2014-06-03;43;9;10;1;31;14;5;2;15;22
2014-06-04;40;6;29;3;39;12;0;6;17;29
