Date;Slowness;Entrance;Breakdown;Heat;Odor;Overcrowding;Dirtness;Control;Price;Flood;COVID-19
2014-03-20;32;0;29;0;0;0;0;0;0;0;0
2014-03-21;139;67;29;48;3;24;7;51;5;13;0
2014-03-22;49;50;0;10;1;10;0;17;2;0;0
2014-03-23;34;6;0;1;0;0;1;11;0;0;0
2014-03-24;299;62;47;29;17;16;15;60;2;1;0
2014-03-25;118;83;11;15;25;21;3;48;2;2;0
2014-03-26;227;134;7;83;2;24;105;63;7;3;0
2014-03-27;198;147;242;39;2;14;24;54;18;2;0
2014-03-28;95;123;18;20;8;11;14;69;0;0;0
2014-03-29;80;22;18;5;2;6;2;6;3;3;0
2014-03-30;63;25;0;2;3;0;3;4;0;3;0
2014-03-31;184;118;5;39;3;17;8;37;0;1;0
2014-04-01;103;101;13;69;2;28;13;37;3;0;1
2014-04-02;151;90;0;54;2;6;18;45;1;44;0
2014-04-03;129;147;7;20;8;20;5;40;13;5;0
2014-04-04;200;64;16;39;9;29;9;61;3;2;0
2014-04-05;77;5;34;16;10;9;4;7;6;0;0
2014-04-06;43;30;0;8;3;2;1;0;3;0;0
2014-04-07;117;107;20;125;20;25;4;49;6;0;3
2014-04-08;118;88;6;118;21;34;10;49;0;0;0
2014-04-09;91;115;14;199;33;19;6;51;9;0;0
2014-04-10;140;60;2;259;7;3;7;48;3;0;0
2014-04-11;29;48;5;36;7;2;3;20;3;0;0
2014-04-21;95;109;0;17;4;0;3;14;2;28;0
2014-04-22;97;125;5;40;4;1;6;30;1;4;0
2014-04-23;111;96;0;40;0;10;5;46;10;1;0
2014-04-24;158;100;0;24;3;3;2;48;15;30;0
2014-04-25;216;77;1;35;8;12;2;44;3;2;0
2014-04-26;118;40;0;10;4;3;11;8;2;0;0
2014-04-27;87;44;1;4;13;10;3;3;0;0;0
2014-04-28;103;135;0;23;2;1;11;50;6;8;0
2014-04-29;121;99;3;31;89;3;10;53;1;0;0
2014-04-30;172;104;6;43;25;0;9;31;2;0;0
2014-05-01;48;42;4;22;0;1;2;4;0;0;0
2014-05-02;46;43;0;5;6;0;28;6;0;4;0
2014-05-03;73;16;1;11;2;2;6;2;1;0;0
2014-05-04;56;22;2;1;1;1;8;13;3;0;0
2014-05-05;161;111;0;47;1;23;1;55;11;0;0
2014-05-06;127;107;14;39;5;7;3;25;2;1;0
2014-05-07;213;97;1;54;6;9;1;25;0;4;0
2014-05-08;113;144;4;103;13;13;13;36;2;4;0
2014-05-09;198;90;20;86;6;32;12;48;6;1;0
2014-05-10;83;34;3;29;5;6;1;2;1;0;0
2014-05-11;61;53;0;3;9;25;3;7;21;0;0
2014-05-12;97;109;6;73;9;24;11;25;0;0;0
2014-05-13;45;77;0;25;4;3;2;25;0;1;1
2014-05-14;141;90;5;46;7;9;5;27;41;3;0
2014-05-15;38;33;2;11;4;0;4;14;1;0;0
2014-05-16;114;113;12;20;5;6;2;3;0;0;0
2014-05-17;61;29;1;37;0;4;8;9;0;0;0
2014-05-18;113;46;0;15;3;11;1;5;0;1;0
2014-05-19;98;90;16;49;0;9;13;31;0;2;0
2014-05-20;95;178;3;25;3;14;15;26;1;2;2
2014-05-21;68;66;3;18;17;3;4;39;1;2;0
2014-05-22;88;90;3;10;12;10;6;32;1;5;0
2014-05-23;77;69;4;19;5;7;4;25;0;0;0
2014-05-24;60;44;0;5;0;14;1;6;8;1;0
2014-05-25;34;19;2;1;1;2;0;8;0;0;0
2014-05-26;74;67;0;17;7;11;4;22;2;1;0
2014-05-27;82;54;7;16;1;4;1;39;1;0;0
2014-05-28;77;57;0;20;9;8;3;29;2;0;0
2014-05-29;83;128;4;14;7;0;5;39;2;2;0
2014-05-30;78;65;2;11;2;1;3;24;0;2;0
2014-05-31;70;11;0;0;0;2;3;5;2;0;0
2014-06-01;48;26;0;6;1;1;5;8;0;0;0
2014-06-02;60;37;2;13;6;6;2;19;3;0;0
2014-06-03;126;56;1;29;2;1;2;40;0;1;0
2014-06-04;97;123;1;56;14;15;9;30;0;0;0
2014-06-05;54;61;0;45;4;1;1;15;0;3;0
2014-06-06;155;117;3;35;1;4;22;27;1;0;3
2014-06-07;68;36;5;8;6;0;5;13;0;0;0
2014-06-08;65;26;0;12;3;0;1;4;0;0;0
2014-06-09;99;42;0;94;13;4;10;21;4;0;0
2014-06-10;90;119;1;68;19;3;7;40;5;0;0
2014-06-11;231;141;4;78;18;20;14;30;4;0;0
2014-06-12;99;188;5;109;6;13;10;40;15;0;0
2014-06-13;142;58;6;119;10;4;4;31;3;1;0
2014-06-14;62;21;4;27;1;0;12;3;0;0;0
2014-06-15;36;28;0;11;2;0;4;3;0;0;0
2014-06-16;133;130;0;107;1;14;12;26;0;0;0
2014-06-17;177;71;15;141;6;6;3;33;5;0;0
2014-06-18;192;1190;4;178;9;12;18;26;24;1;0
